# Logfile created on 2025-11-10 12:06:47 +0900 by logger.rb/v1.5.3
2025-11-10 12:06:47 +0900: Memory Usage (423920K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/juan/Documents/Workshop_ihp/Modulo_Analogico/Lab5/inverter/gds/inverter.gds
2025-11-10 12:06:47 +0900: Memory Usage (423920K) : Ruby Version for klayout: 3.2.3
2025-11-10 12:06:47 +0900: Memory Usage (425228K) : Loading database to memory is complete.
2025-11-10 12:06:47 +0900: Memory Usage (425228K) : IHP-SG13G2 Klayout DRC runset output at: /home/juan/Documents/Digital_module/Lab1/DRC_results/inverter_inverter_main.lyrdb
2025-11-10 12:06:47 +0900: Memory Usage (425228K) : Evaluate switches.
2025-11-10 12:06:47 +0900: Memory Usage (425228K) : table_name selected  main
2025-11-10 12:06:47 +0900: Memory Usage (425228K) : Klayout will use 1 thread(s)
2025-11-10 12:06:47 +0900: Memory Usage (425228K) : flat mode is enabled for main table.
2025-11-10 12:06:47 +0900: Memory Usage (425228K) : FEOL enabled: true
2025-11-10 12:06:47 +0900: Memory Usage (425228K) : BEOL enabled: true
2025-11-10 12:06:47 +0900: Memory Usage (425228K) : OffGrid enabled: true
2025-11-10 12:06:47 +0900: Memory Usage (425228K) : PreCheck DRC enabled: false
2025-11-10 12:06:47 +0900: Memory Usage (425228K) : CONNECTIVITY_RULES enabled: true for table main
2025-11-10 12:06:47 +0900: Memory Usage (425228K) : Read in polygons from layers.
2025-11-10 12:06:47 +0900: Memory Usage (426244K) : activ_drw has 4 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426244K) : activ_pin has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426244K) : activ_mask has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426244K) : activ_filler has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426244K) : activ_nofill has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426244K) : activ_opc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426244K) : activ_iopc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426244K) : activ_noqrc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426244K) : biwind_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426244K) : biwind_opc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426372K) : pemwind_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426372K) : gatpoly_drw has 2 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426500K) : gatpoly_pin has 1 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426500K) : gatpoly_filler has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426500K) : gatpoly_nofill has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426500K) : gatpoly_opc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426500K) : gatpoly_iopc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426500K) : gatpoly_noqrc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426500K) : cont_drw has 34 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426500K) : cont_opc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426628K) : nsd_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426628K) : nsd_block has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426756K) : metal1_drw has 4 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426884K) : metal1_pin has 6 polygons
2025-11-10 12:06:47 +0900: Memory Usage (426884K) : metal1_mask has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (427012K) : metal1_filler has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (427140K) : metal1_nofill has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (427140K) : metal1_slit has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (427396K) : metal1_text has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (427396K) : metal1_opc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (427524K) : metal1_noqrc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (427524K) : metal1_res has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (427652K) : metal1_iprobe has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (427780K) : metal1_diffprb has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (427908K) : passiv_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (427908K) : passiv_pin has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (428036K) : passiv_sbump has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (428036K) : passiv_pillar has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (428164K) : passiv_pdl has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (428292K) : metal2_drw has 2 polygons
2025-11-10 12:06:47 +0900: Memory Usage (428292K) : metal2_pin has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (428420K) : metal2_mask has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (428548K) : metal2_filler has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (428548K) : metal2_nofill has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (428676K) : metal2_slit has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (428676K) : metal2_text has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (428804K) : metal2_opc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (428932K) : metal2_noqrc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (428932K) : metal2_res has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (429060K) : metal2_iprobe has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (429188K) : metal2_diffprb has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (429188K) : baspoly_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (429316K) : baspoly_pin has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (429444K) : psd_drw has 2 polygons
2025-11-10 12:06:47 +0900: Memory Usage (429444K) : nldb_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (429572K) : digibnd_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (429700K) : via1_drw has 4 polygons
2025-11-10 12:06:47 +0900: Memory Usage (429700K) : backmetal1_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (429828K) : backmetal1_pin has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (429956K) : backmetal1_mask has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (430084K) : backmetal1_filler has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (430084K) : backmetal1_nofill has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (430212K) : backmetal1_slit has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (430212K) : backmetal1_text has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (430340K) : backmetal1_opc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (430340K) : backmetal1_noqrc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (430468K) : backmetal1_res has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (430596K) : backmetal1_iprobe has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (430596K) : backmetal1_diffprb has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (430724K) : backpassiv_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (430852K) : res_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (430980K) : sram_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (430980K) : trans_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (431108K) : ind_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (431236K) : ind_pin has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (431236K) : ind_text has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (431364K) : salblock_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (431364K) : via2_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (431492K) : metal3_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (431620K) : metal3_pin has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (431620K) : metal3_mask has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (431748K) : metal3_filler has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (431876K) : metal3_nofill has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (432004K) : metal3_slit has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (432004K) : metal3_text has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (432004K) : metal3_opc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (432004K) : metal3_noqrc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (432004K) : metal3_res has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (432004K) : metal3_iprobe has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (432132K) : metal3_diffprb has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (432132K) : nwell_drw has 1 polygons
2025-11-10 12:06:47 +0900: Memory Usage (432260K) : nwell_pin has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (432388K) : nbulay_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (432388K) : nbulay_pin has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (432516K) : nbulay_block has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (432644K) : emwind_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (432772K) : emwind_opc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (432772K) : deepco_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (432900K) : deepco_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (433028K) : mim_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (433028K) : edgeseal_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (433156K) : edgeseal_bound has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (433284K) : substrate_drw has 1 polygons
2025-11-10 12:06:47 +0900: Memory Usage (433284K) : substrate_text has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (433412K) : dfpad_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (433412K) : dfpad_pillar has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (433540K) : dfpad_sbump has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (433668K) : thickgateox_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (433668K) : pldb_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (433796K) : pwell_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (433924K) : pwell_pin has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (433924K) : pwell_block has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (434052K) : ic_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (434052K) : via3_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (434180K) : metal4_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (434308K) : metal4_pin has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (434436K) : metal4_mask has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (434436K) : metal4_filler has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (434564K) : metal4_nofill has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (434692K) : metal4_slit has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (434692K) : metal4_text has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (434820K) : metal4_opc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (434820K) : metal4_noqrc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (434948K) : metal4_res has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (435076K) : metal4_iprobe has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (435076K) : metal4_diffprb has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (435204K) : heattrans_drw has 2 polygons
2025-11-10 12:06:47 +0900: Memory Usage (435332K) : heatres_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (435460K) : pempoly_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (435460K) : fbe_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (435588K) : empoly_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (435716K) : ldmos_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (435716K) : pbiwind_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (435844K) : digisub_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (435972K) : nodrc_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (435972K) : text_drw has 2 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436100K) : via4_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436228K) : metal5_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436228K) : metal5_pin has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436356K) : metal5_mask has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436484K) : metal5_filler has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436484K) : metal5_nofill has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436612K) : metal5_slit has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436612K) : metal5_text has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436740K) : metal5_opc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436868K) : metal5_noqrc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436868K) : metal5_res has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (436996K) : metal5_iprobe has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (437124K) : metal5_diffprb has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (437252K) : radhard_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (437252K) : memcap_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (437380K) : varicap_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (437508K) : flash_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (437636K) : intbondvia_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (437764K) : intbondmet_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (437764K) : devbondvia_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (437892K) : devbondmet_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (438020K) : devtrench_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (438020K) : redist_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (438148K) : graphbot_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (438276K) : graphtop_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (438276K) : antvia1_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (438404K) : antmetal2_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (438532K) : graphcont_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (438660K) : siwg_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (438788K) : siwg_filler has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (438788K) : siwg_nofill has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (438916K) : sigrating_drw has 0 polygons
